course code,Section,Date & Time,Room,Instructor,Quota,Enrol,Avail,Wait,Remarks
MGMT 5760,L3 (1477),10-APR-2023 - 29-MAY-2023Mo 07:00PM - 10:20PM,TBA,"DORAN, Christopher",40Quota/Enrol/AvailMBA: 40/34/6,34,6,0,"> For FT-MBA; PT-MBA and MBA Exchange students only
> Venue : B-School Central, 15/F, HK Club Bldg, 3A Charter Rd, Central
> Add/Drop Deadline : 11-Apr-2023"
MGMT 5870,L1 (1469),01-APR-2023 - 27-MAY-2023Sa 02:30PM - 05:50PM,"Rm 1007, LSK Bldg (80)","ZHENG, Yanfeng",80,53,27,0,"> For MSc(FinTech) students only
> Add/Drop Deadline : 03-Apr-2023"
MGMT 5960,L1 (1449),01-FEB-2023 - 22-MAR-2023We 07:00PM - 10:20PM,TBA,"NEW, Mitya",40,25,15,0,"> The class is delivered in a real-time online mode
> For SBM TPG students only
> Add/Drop Deadline : 13-Feb-2023Instructor Consent Required"
MGMT 5980,L1 (1464),04-MAR-2023 - 25-MAR-2023Sa 02:00PM - 05:20PM,TBA,"WANG, Caroline",40Quota/Enrol/AvailDigital MBA: 40/17/23,17,23,0,"> The class is delivered in a real-time online mode
> For DI-MBA students only
> Add/Drop Deadline : 06-Mar-2023"
MGMT 6501E,L1 (1463),21-FEB-2023 - 21-FEB-2023Tu 09:00AM - 05:50PM,TBA,"WANG, Caroline",50Quota/Enrol/AvailDigital MBA: 50/42/8,42,8,0,"> For DI-MBA students only
> Add/Drop Deadline : 21-Feb-2023"
MGMT 6501F,L1 (1450),09-FEB-2023 - 23-MAR-2023Th 02:00PM - 05:20PM 30-MAR-2023 - 30-MAR-2023Th 02:00PM - 05:20PM,"Rm 2001, LSK Bldg TBA","CHOI, Joon Nak CHOI, Joon Nak",25Quota/Enrol/AvailISOM: 21/16/5MBA: 4/4/0,20,5,0,"> For MBA; MBA Exchange and MSc(BA) students only
> Add/Drop Deadline : 13-Feb-2023"
MGMT 6501F,L2 (4265),09-FEB-2023 - 30-MAR-2023Th 07:00PM - 10:20PM,"Rm 2001, LSK Bldg","CHOI, Joon Nak",25Quota/Enrol/AvailISOM: 21/16/5MBA: 4/4/0,20,5,0,"> For MBA; MBA Exchange and MSc(BA) students only
> Add/Drop Deadline : 13-Feb-2023"
MGMT 6501G,L1 (1465),27-MAR-2023 - 03-APR-2023Mo 02:00PM - 05:20PM 17-APR-2023 - 22-MAY-2023Mo 02:00PM - 05:20PM,"G001, LSK Bldg (70) G001, LSK Bldg (70)","ZHENG, Yanfeng ZHENG, Yanfeng",60,10,50,0,"> For SBM TPG students only
> Add/Drop Deadline : 03-Apr-2023Instructor Consent Required"
MGMT 6501H,L1 (4332),06-APR-2023 - 06-APR-2023Th 02:00PM - 05:20PM 13-APR-2023 - 13-APR-2023Th 02:00PM - 05:20PM 20-APR-2023 - 20-APR-2023Th 02:00PM - 05:20PM 27-APR-2023 - 04-MAY-2023Th 02:00PM - 05:20PM 11-MAY-2023 - 25-MAY-2023Th 02:00PM - 05:20PM,"Rm 3001, LSK Bldg Rm 1032, LSK Bldg (45) Rm 3005, LSK Bldg Rm 3001, LSK Bldg Rm 1005, LSK Bldg (70)","CHOI, Joon Nak CHOI, Joon Nak CHOI, Joon Nak CHOI, Joon Nak CHOI, Joon Nak",25Quota/Enrol/AvailISOM: 21/16/5MBA: 4/3/1,19,6,0,"> For MBA; MBA Exchange and MSc(BA) students only
> Add/Drop Deadline : 10-Apr-2023"
MGMT 6501H,L2 (4333),06-APR-2023 - 25-MAY-2023Th 07:00PM - 10:20PM,"Rm 2003, LSK Bldg","CHOI, Joon Nak",25Quota/Enrol/AvailISOM: 21/17/4MBA: 4/2/2,19,6,0,"> For MBA; MBA Exchange and MSc(BA) students only
> Add/Drop Deadline : 10-Apr-2023"
MGMT 6970C,R1 (4281),TBA,TBA,TBA,3,3,0,0,
MGMT 6990,R1 (1453),TBA,TBA,TBA,10,2,8,0,> For MPhil(MGMT) students only
MGMT 7140,L1 (3813),Tu 02:30PM - 05:20PM,"Rm 5047, LSK Bldg","WONG, Ellick Kin Fai",15,7,8,0,
MGMT 7990,R1 (1454),TBA,TBA,TBA,10,6,4,0,> For PhD(MGMT) students only
MICS 6990,R1 (4295),TBA,TBA,TBA,30,3,27,0,
MICS 7990,R1 (4308),TBA,TBA,TBA,30,3,27,0,
MILE 5003,L1 (1664),TBA,TBA,"CHEUNG, AnisaMCMINN, Sean",76,76,0,0,> The class is delivered in a pure online mode
MILE 5103,L1 (1665),03-FEB-2023 - 10-FEB-2023Fr 09:00AM - 10:20AM 06-FEB-2023 - 08-MAY-2023Mo 01:30PM - 02:50PM 15-FEB-2023 - 03-MAY-2023We 01:30PM - 02:50PM,"Rm 1409, Lift 25-26 (60) Rm 1409, Lift 25-26 (60) Rm 2463, Lift 25-26 (42)","LEUNG, Benjamin C. S. LEUNG, Benjamin C. S. LEUNG, Benjamin C. S.",42,6,36,0,
MILE 5106,L1 (1666),MoWe 09:00AM - 10:20AM,"Rm 2302, Lift 17-18 (74)","LI, Dechao",50,43,7,0,
MILE 5203,L1 (1667),TuTh 10:30AM - 11:50AM,"Rm 2504, Lift 25-26 (84)","CHAN, Ka Long Roy",30,17,13,0,> The class is delivered in a conventional face-to-face mode
MILE 5205,L1 (1668),MoWe 10:30AM - 11:50AM,"G002, CYT Bldg (30)","WU, Kam Yin",30,23,7,0,
MILE 5206,L1 (1669),TuTh 01:30PM - 02:50PM,"Rm 5508, Lift 25-26 (30)","HUSSIN, Nora Anniesha BinteWHONG, Melinda Karen",30,7,23,0,
MILE 5302,L1 (1670),TBA,TBA,"ZHANG, Min",51,49,2,0,> The class is delivered in a pure online mode
MILE 5303,L1 (1671),TuTh 09:00AM - 10:20AM,"Rm 2404, Lift 17-18 (81)","YUAN, Su",50,44,6,0,
MILE 6000,T1 (1673),WeFr 03:00PM - 04:20PM,"Rm 3301, Lift 17-18","LI, Po LungLIANG, Sheila, Xin",10,9,1,0,Instructor Consent Required
MILE 6000,T2 (1674),WeFr 03:00PM - 04:20PM,"Rm 3401, Lift 17-18 (30)","LI, Po LungLIANG, Sheila, Xin",10,10,0,0,Instructor Consent Required
MILE 6980,R1 (1675),Fr 10:30AM - 01:20PM,"Rm 1026, LSK Bldg (28)","CHEUNG, AnisaSIMPSON, James Edward Barbour",20,12,8,0,Instructor Consent Required
MIMT 5110,L1 (1559),10-FEB-2023 - 03-MAR-2023Fr 09:30AM - 12:50PM 10-FEB-2023 - 03-MAR-2023Fr 02:00PM - 05:20PM,"Rm 2003, LSK Bldg Rm 2003, LSK Bldg","SULLIVAN, Bilian NI SULLIVAN, Bilian NI",45,24,21,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 13-Feb-2023"
MIMT 5200,L1 (1567),21-APR-2023 - 21-APR-2023Fr 09:30AM - 12:50PM 27-APR-2023 - 27-APR-2023Th 02:00PM - 05:20PM 28-APR-2023 - 28-APR-2023Fr 09:00AM - 12:20PM 05-MAY-2023 - 05-MAY-2023Fr 09:30AM - 12:50PM,"Rm 2003, LSK Bldg Rm 3003, LSK Bldg Rm 2003, LSK Bldg Rm 2003, LSK Bldg","NEW, Mitya NEW, Mitya NEW, Mitya NEW, Mitya",45,26,19,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 24-Apr-2023"
MIMT 5210,L1 (1557),07-FEB-2023 - 28-MAR-2023Tu 09:30AM - 12:50PM,"Rm 2001, LSK Bldg","CHAO, Melody Man Chi",45,26,19,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 13-Feb-2023"
MIMT 5310,L1 (1565),06-APR-2023 - 25-MAY-2023Th 09:30AM - 12:50PM,"G003, LSK Bldg (70)","SALVACRUZ, Joseph",45,12,33,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 11-Apr-2023"
MIMT 6120,L1 (1536),TBA,TBA,TBA,45,30,15,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 16-Feb-2023"
MIMT 6200,L1 (1556),06-FEB-2023 - 03-APR-2023Mo 02:00PM - 05:20PM 17-APR-2023 - 24-APR-2023Mo 02:00PM - 05:20PM 08-MAY-2023 - 22-MAY-2023Mo 02:00PM - 05:20PM,"Rm 2003, LSK Bldg Rm 2003, LSK Bldg Rm 2003, LSK Bldg","DORAN, Christopher DORAN, Christopher DORAN, Christopher",45,26,19,0,"> For MSc(IMT) students only
> Add/Drop Deadline : 20-Feb-2023"
MSBD 5002,L1 (1619),Mo 07:30PM - 10:20PM,Lecture Theater E (143),"CHEN, LeiZHANG, Chen",130Quota/Enrol/AvailBDT: 130/98/32,98,32,0,> MSBD 5002 is not co-listing with CSIT 5210 in Spring 2022-23
MSBD 5003,L1 (1620),Th 07:30PM - 10:20PM,"G010, CYT Bldg (140)","YI, Ke",130Quota/Enrol/AvailBDT: 130/101/29,101,29,0,
MSBD 5005,L1 (1621),Fr 07:30PM - 10:20PM,"Rm 2306, Lift 17-18 (111)","QU, HuaminZHANG, Rong",90Quota/Enrol/AvailBDT: 90/62/28,66,24,0,
MSBD 5007,L1 (1622),Sa 03:00PM - 05:50PM,"Rm 2306, Lift 17-18 (111)","CAI, Jianfeng",100Quota/Enrol/AvailBDT: 93/21/72CSIT: 7/0/7,21,79,0,
MSBD 5008,L1 (1623),Tu 07:30PM - 10:20PM,Lecture Theater K (106),"KWOK, James Tin Yau",100Quota/Enrol/AvailBDT: 93/36/57CSIT: 7/8/0,44,56,0,
MSBD 5009,L1 (4488),03-FEB-2023 - 11-MAR-2023Sa 06:30PM - 09:20PM 18-MAR-2023 - 06-MAY-2023Sa 06:30PM - 09:20PM,"Rm 2406, Lift 17-18 (76) Rm 2504, Lift 25-26 (84)","LUO, Qiong LUO, Qiong",40Quota/Enrol/AvailBDT: 40/15/25,19,21,0,
MSBD 5013,L1 (1624),We 07:30PM - 10:20PM,"Rm 2502, Lift 25-26 (120)","YANG, Can",90Quota/Enrol/AvailBDT: 90/10/80,11,79,0,
MSBD 5014A,R1 (4426),TBA,TBA,TBA,40,15,25,0,Instructor Consent Required
MSBD 5014B,R1 (4427),TBA,TBA,TBA,40,12,28,0,Instructor Consent Required
MSBD 5018,L1 (1625),We 07:30PM - 10:20PM,"Rm 2306, Lift 17-18 (111)","SONG, Yangqiu",90Quota/Enrol/AvailBDT: 90/61/29,62,28,0,
MSBD 6000M,L1 (4272),Sa 02:30PM - 05:20PM,TBA,"WONG, Chak Kei Jack",20Quota/Enrol/AvailBDT: 20/3/17,3,17,0,"> Co-list with MAFS 5370
> Venue: LTG"
MSDM 5004,L1 (1488),Fr 07:00PM - 09:50PM,"Rm 2302, Lift 17-18 (74)","CHEN, Tian WenXIANG, Yang",70,53,17,0,> For MSc(DDM) students only.
MSDM 5005,L1 (1489),We 07:00PM - 08:50PM,"Rm 2303, Lift 17-18 (91)","HUANG, Erwin",70,60,10,0,> For MSc(DDM) students only.
MSDM 5005,T1 (1490),We 09:00PM - 09:50PM,"Rm 2303, Lift 17-18 (91)","HUANG, Erwin",70,60,10,0,
MSDM 5053,L1 (1491),Sa 02:00PM - 04:50PM,"G009B, CYT Bldg (70)","LING, Shiqing",70,17,53,0,> For MSc(DDM) students only.
MSDM 5055,L1 (1492),Th 07:00PM - 08:50PM,"Rm 2465, Lift 25-26 (122)","LI, Shuohui",70,57,13,0,> For MSc(DDM) students only.
MSDM 5055,T1 (1493),Th 09:00PM - 09:50PM,"Rm 2465, Lift 25-26 (122)","LI, Shuohui",70,57,13,0,
MSDM 5058,L1 (1494),Sa 09:30AM - 11:20AM,"G009B, CYT Bldg (70)","LI, Sai Ping",70,33,37,0,> For MSc(DDM) students only.
MSDM 5058,T1 (1495),Sa 11:30AM - 12:20PM,"G009B, CYT Bldg (70)","LI, Sai Ping",70,33,37,0,
MSDM 5059,L1 (1496),Tu 07:00PM - 08:50PM,"Rm 2302, Lift 17-18 (74)","CHEN, Tian WenWONG, Kwok Yee Michael",70,16,54,0,> For MSc(DDM) students only.
MSDM 5059,T1 (1497),Tu 09:00PM - 09:50PM,"Rm 2302, Lift 17-18 (74)","CHEN, Tian WenWONG, Kwok Yee Michael",70,16,54,0,
MSDM 6980,R1 (1498),TBA,TBA,"CHEUNG, Man FungLEI, ZhibinLI, Sai PingPARK, Hyo KeunWONG, Kwok Yee MichaelXIANG, YangZENG, BeiZHANG, Rui",70,44,26,0,> For MSc(DDM) students only.Instructor Consent Required
MTLE 6980,L1 (1626),Mo 07:30PM - 10:20PM,"Rm 4502, Lift 25-26 (60)","JONEJA, Ajay",30Quota/Enrol/AvailMTLE: 30/30/0,30,0,0,Instructor Consent Required
NANO 5100,L1 (1709),Fr 01:30PM - 04:20PM,TBA,"CHEN, Qing",20,13,7,0,> Venue: LSK1033
NANO 5200,L1 (1710),MoWe 12:00PM - 01:20PM,TBA,"LI, HuiWANG, Jiannong",10,9,1,0,> Venue: Room 1409
NANO 6100,T1 (1711),TBA,TBA,TBA,10,4,6,0,> The instructor's approval is required for taking this course.Instructor Consent Required
NANO 7990,R1 (1713),TBA,TBA,TBA,40,9,31,0,
OCES 1001,L1 (3815),Tu 12:00PM - 01:20PM,"Rm 2464, Lift 25-26 (122)","GAN, JianpingLAU, Stanley Chun KwanLIU, HongbinQIAN, PeiyuanQIU, LanWANG, YanYAU, Sin Ting CynthiaYUNG, CharmaineZENG, QingluZHANG, Kun",100,99,1,0,> The class is delivered in a blended learning mode
OCES 1010,L1 (3816),MoWe 10:30AM - 11:50AM,Lecture Theater A (401),"HE, DingLI, JiyingWU, LongjunZHANG, Qiong",175,175,0,0,
OCES 2002,L1 (3817),TuTh 12:00PM - 01:20PM,"Rm 6602, Lift 31-32 (60)","LI, JiyingWYATT, Alex",40,24,16,0,
OCES 2003,L1 (3818),WeFr 04:30PM - 05:50PM,"Rm 2302, Lift 17-18 (74)","MAK, Julian",40,27,13,0,
OCES 3001,T1 (3820),We 01:30PM - 02:20PM,"UG002, CYT Bldg","LAM, Ka Sin Cindy",40,30,10,0,
OCES 3001,LA1 (3819),We 02:30PM - 05:20PM,"UG002, CYT Bldg","LAM, Ka Sin Cindy",40,30,10,0,
OCES 3201,L1 (3821),Mo 04:30PM - 05:50PM Fr 12:00PM - 01:20PM,"Rm 5508, Lift 25-26 (30) Rm 5508, Lift 25-26 (30)","LIU, Hongbin LIU, Hongbin",30,8,22,0,
OCES 3202,L1 (3822),TuTh 03:00PM - 04:20PM,"Rm 4504, Lift 25-26 (54)","HE, DingLI, JiyingWYATT, Alex",30,10,20,0,> Co-list with OCES 5300
OCES 3203,L1 (3823),MoWe 09:00AM - 10:20AM,"Rm 5508, Lift 25-26 (30)","MAK, Julian",30,7,23,0,
OCES 3301,L1 (3824),Tu 09:00AM - 11:50AM,"Rm 4402, Lift 17-18","MAK, Julian",30,4,26,0,
OCES 4001,L1 (3825),TuTh 01:30PM - 02:50PM,"Rm 6602, Lift 31-32 (60)","LI, JiyingWANG, Yan",40,33,7,0,
OCES 4202,L1 (3826),MoWe 12:00PM - 01:20PM,"Rm 5508, Lift 25-26 (30)","ZENG, Qinglu",30,14,16,0,
